,Response,Test Stim,Test Speed,Correct,Time,Stim Time
153,left,log,-40.0,True,0.8500888347625732,0.48571428571428565
154,right,log,40.0,True,1.0710301399230957,0.48571428571428565
155,right,mirror,0.0,False,0.8221821784973145,0.48571428571428565
156,right,mirror,24.0,True,0.49884605407714844,0.48571428571428565
157,right,log,40.0,True,0.43271923065185547,0.48571428571428565
158,left,log,16.0,False,22.238309860229492,0.48571428571428565
159,right,mirror,-16.0,False,0.6452751159667969,0.48571428571428565
160,right,log,-8.0,False,0.416107177734375,0.48571428571428565
161,right,log,-32.0,False,4.753304958343506,0.48571428571428565
162,left,mirror,-8.0,True,0.48331332206726074,0.48571428571428565
163,left,mirror,24.0,False,0.3657379150390625,0.48571428571428565
164,left,log,-32.0,True,3.963728189468384,0.48571428571428565
165,right,log,40.0,True,0.511754035949707,0.48571428571428565
166,right,log,24.0,True,0.6224339008331299,0.48571428571428565
167,right,mirror,8.0,True,0.43322014808654785,0.48571428571428565
168,left,mirror,-32.0,True,0.49959611892700195,0.48571428571428565
169,left,log,-32.0,True,0.5205559730529785,0.48571428571428565
170,right,log,0.0,False,0.43433499336242676,0.48571428571428565
171,left,log,0.0,False,0.5358490943908691,0.48571428571428565
172,right,mirror,16.0,True,0.43363094329833984,0.48571428571428565
173,left,mirror,8.0,False,0.43254923820495605,0.48571428571428565
174,left,log,40.0,False,0.5541939735412598,0.48571428571428565
175,right,mirror,32.0,True,5.282346248626709,0.48571428571428565
176,left,log,40.0,False,0.5022408962249756,0.48571428571428565
177,left,log,-24.0,True,0.5328900814056396,0.48571428571428565
178,left,log,-40.0,True,0.5436601638793945,0.48571428571428565
179,right,mirror,16.0,True,5.386576890945435,0.48571428571428565
180,right,log,32.0,True,9.255582809448242,0.48571428571428565
181,left,log,0.0,False,0.971142053604126,0.48571428571428565
182,right,mirror,24.0,True,0.7141649723052979,0.48571428571428565
183,left,log,-40.0,True,0.5003609657287598,0.48571428571428565
184,left,mirror,32.0,False,0.43220090866088867,0.48571428571428565
185,right,mirror,-8.0,False,0.41687703132629395,0.48571428571428565
186,left,log,0.0,False,0.5395660400390625,0.48571428571428565
187,left,mirror,-32.0,True,0.4990661144256592,0.48571428571428565
188,right,mirror,-24.0,False,0.46652817726135254,0.48571428571428565
189,left,mirror,-16.0,True,0.4495816230773926,0.48571428571428565
190,right,mirror,32.0,True,0.48221778869628906,0.48571428571428565
191,right,mirror,16.0,True,0.5209558010101318,0.48571428571428565
192,right,mirror,16.0,True,0.4010050296783447,0.48571428571428565
193,left,log,40.0,False,0.4497830867767334,0.48571428571428565
194,right,log,8.0,True,0.7610950469970703,0.48571428571428565
195,left,mirror,16.0,False,0.4330880641937256,0.48571428571428565
196,right,mirror,8.0,True,0.4651808738708496,0.48571428571428565
197,left,log,40.0,False,0.4991340637207031,0.48571428571428565
198,right,log,40.0,True,0.39922118186950684,0.48571428571428565
199,right,log,0.0,False,0.31604981422424316,0.48571428571428565
200,left,log,-40.0,True,0.44823122024536133,0.48571428571428565
201,right,log,8.0,True,0.3997769355773926,0.48571428571428565
202,left,mirror,-32.0,True,0.5643179416656494,0.48571428571428565
203,right,mirror,-8.0,False,0.6511638164520264,0.48571428571428565
204,right,log,40.0,True,1.7299580574035645,0.48571428571428565
205,right,mirror,8.0,True,0.574368953704834,0.48571428571428565
206,left,log,24.0,False,0.34957313537597656,0.48571428571428565
207,right,log,8.0,True,0.4164729118347168,0.48571428571428565
208,left,mirror,-32.0,True,0.46697211265563965,0.48571428571428565
209,right,log,-40.0,False,0.5407788753509521,0.48571428571428565
210,left,mirror,0.0,False,0.4990661144256592,0.48571428571428565
211,right,log,-24.0,False,0.38272881507873535,0.48571428571428565
212,right,log,0.0,False,13.160907745361328,0.48571428571428565
213,right,log,0.0,False,0.8283979892730713,0.48571428571428565
214,right,mirror,16.0,True,0.3997628688812256,0.48571428571428565
215,right,log,40.0,True,0.4834890365600586,0.48571428571428565
216,right,mirror,8.0,True,0.41596102714538574,0.48571428571428565
217,left,mirror,16.0,False,0.36649417877197266,0.48571428571428565
218,left,log,8.0,False,0.4667508602142334,0.48571428571428565
219,right,mirror,-32.0,False,4.473953008651733,0.48571428571428565
220,right,log,-16.0,False,0.5070209503173828,0.48571428571428565
221,left,log,-24.0,True,0.5073888301849365,0.48571428571428565
222,right,log,24.0,True,0.44971799850463867,0.48571428571428565
223,left,mirror,-16.0,True,0.503666877746582,0.48571428571428565
224,right,log,-16.0,False,6.280619859695435,0.48571428571428565
225,left,log,-24.0,True,0.5854928493499756,0.48571428571428565
226,right,mirror,-8.0,False,0.5345678329467773,0.48571428571428565
227,right,log,0.0,False,0.5694499015808105,0.48571428571428565
228,left,mirror,-32.0,True,0.45013999938964844,0.48571428571428565
229,left,mirror,-32.0,True,0.41678714752197266,0.48571428571428565
230,right,mirror,32.0,True,0.5106532573699951,0.48571428571428565
231,left,log,-32.0,True,0.4493241310119629,0.48571428571428565
232,left,log,-16.0,True,0.5866780281066895,0.48571428571428565
233,left,log,-24.0,True,0.49906206130981445,0.48571428571428565
234,left,mirror,40.0,False,5.4352641105651855,0.48571428571428565
235,right,mirror,-8.0,False,5.7808098793029785,0.48571428571428565
236,right,mirror,16.0,True,0.591806173324585,0.48571428571428565
237,left,mirror,40.0,False,6.340620040893555,0.48571428571428565
238,left,mirror,-24.0,True,0.5322349071502686,0.48571428571428565
239,left,log,16.0,False,0.5268030166625977,0.48571428571428565
240,right,mirror,24.0,True,0.8001248836517334,0.48571428571428565
241,left,mirror,-8.0,True,0.5083498954772949,0.48571428571428565
242,right,mirror,32.0,True,0.5609078407287598,0.48571428571428565
243,left,log,-32.0,True,0.5864808559417725,0.48571428571428565
244,right,mirror,40.0,True,10.745869159698486,0.48571428571428565
245,left,log,40.0,False,5.374184846878052,0.48571428571428565
246,right,log,-16.0,False,5.648250102996826,0.48571428571428565
247,right,mirror,40.0,True,0.5175297260284424,0.48571428571428565
248,left,mirror,-8.0,True,5.425467014312744,0.48571428571428565
249,right,log,24.0,True,0.5362470149993896,0.48571428571428565
250,right,log,24.0,True,0.48348212242126465,0.48571428571428565
251,left,mirror,-24.0,True,0.4319758415222168,0.48571428571428565
252,left,mirror,0.0,False,0.44872498512268066,0.48571428571428565
253,right,log,8.0,True,0.5969698429107666,0.48571428571428565
254,left,mirror,8.0,False,0.5552809238433838,0.48571428571428565
255,right,log,8.0,True,0.741126298904419,0.48571428571428565
256,left,mirror,-24.0,True,0.4997220039367676,0.48571428571428565
257,right,log,-40.0,False,0.4495370388031006,0.48571428571428565
258,right,mirror,0.0,False,0.4822208881378174,0.48571428571428565
259,left,mirror,-16.0,True,0.4990053176879883,0.48571428571428565
260,right,log,24.0,True,0.4650700092315674,0.48571428571428565
261,left,log,24.0,False,0.49909400939941406,0.48571428571428565
262,right,log,8.0,True,0.46688008308410645,0.48571428571428565
263,left,mirror,-32.0,True,0.5039689540863037,0.48571428571428565
264,left,log,-8.0,True,0.642545223236084,0.48571428571428565
265,right,log,-8.0,False,0.6150500774383545,0.48571428571428565
266,left,mirror,-8.0,True,0.500277042388916,0.48571428571428565
267,left,log,-32.0,True,0.4820826053619385,0.48571428571428565
268,left,mirror,16.0,False,0.4175889492034912,0.48571428571428565
269,left,log,-32.0,True,0.39878010749816895,0.48571428571428565
270,left,mirror,0.0,False,0.4659907817840576,0.48571428571428565
271,right,mirror,40.0,True,0.49939680099487305,0.48571428571428565
272,left,log,-32.0,True,0.5472159385681152,0.48571428571428565
273,left,log,-32.0,True,0.5586528778076172,0.48571428571428565
274,left,mirror,8.0,False,0.41651296615600586,0.48571428571428565
275,right,mirror,40.0,True,0.49883103370666504,0.48571428571428565
276,right,mirror,16.0,True,0.4159560203552246,0.48571428571428565
277,left,mirror,32.0,False,0.3502919673919678,0.48571428571428565
278,right,log,-8.0,False,0.4654231071472168,0.48571428571428565
279,right,log,-16.0,False,4.740930080413818,0.48571428571428565
280,left,log,-16.0,True,0.564661979675293,0.48571428571428565
281,right,mirror,-16.0,False,0.8231680393218994,0.48571428571428565
282,left,mirror,-24.0,True,0.48432207107543945,0.48571428571428565
283,right,mirror,0.0,False,0.5433757305145264,0.48571428571428565
284,right,mirror,16.0,True,0.5888121128082275,0.48571428571428565
285,left,mirror,-40.0,True,0.43306612968444824,0.48571428571428565
286,right,mirror,-24.0,False,0.38312315940856934,0.48571428571428565
287,right,log,24.0,True,0.4326777458190918,0.48571428571428565
288,left,log,-32.0,True,0.41727685928344727,0.48571428571428565
289,right,mirror,-24.0,False,0.4826791286468506,0.48571428571428565
290,right,mirror,16.0,True,0.5216529369354248,0.48571428571428565
291,right,mirror,32.0,True,0.556466817855835,0.48571428571428565
292,left,log,-16.0,True,0.540693998336792,0.48571428571428565
293,right,mirror,16.0,True,0.39873695373535156,0.48571428571428565
294,left,log,40.0,False,20.501961946487427,0.48571428571428565
295,right,mirror,40.0,True,0.5031087398529053,0.48571428571428565
296,right,mirror,8.0,True,0.416046142578125,0.48571428571428565
297,right,mirror,-40.0,False,0.5711982250213623,0.48571428571428565
298,left,mirror,-8.0,True,0.7611978054046631,0.48571428571428565
299,left,log,-32.0,True,0.4163851737976074,0.48571428571428565
300,right,log,32.0,True,0.6278231143951416,0.48571428571428565
301,left,mirror,-40.0,True,0.5329391956329346,0.48571428571428565
302,right,log,16.0,True,0.5808603763580322,0.48571428571428565
303,left,log,-32.0,True,0.41471004486083984,0.48571428571428565
304,right,log,40.0,True,0.4665558338165283,0.48571428571428565
305,left,mirror,-8.0,True,0.432466983795166,0.48571428571428565
306,right,log,8.0,True,0.49837613105773926,0.48571428571428565
307,right,mirror,24.0,True,0.4492800235748291,0.48571428571428565
308,left,mirror,-16.0,True,0.4820120334625244,0.48571428571428565
309,right,mirror,16.0,True,0.5527598857879639,0.48571428571428565
310,left,log,-16.0,True,0.4660990238189697,0.48571428571428565
311,right,mirror,-24.0,False,0.531562089920044,0.48571428571428565
312,left,log,-24.0,True,0.4499070644378662,0.48571428571428565
313,right,log,0.0,False,9.311644077301025,0.48571428571428565
314,left,mirror,8.0,False,0.4999420642852783,0.48571428571428565
315,right,log,16.0,True,8.13607406616211,0.48571428571428565
316,right,log,8.0,True,0.4627876281738281,0.48571428571428565
317,right,log,40.0,True,0.43305397033691406,0.48571428571428565
318,left,mirror,24.0,False,0.48232388496398926,0.48571428571428565
319,right,mirror,-16.0,False,0.11628293991088867,0.48571428571428565
320,right,mirror,0.0,False,0.4157390594482422,0.48571428571428565
321,right,mirror,40.0,True,0.4661250114440918,0.48571428571428565
322,left,mirror,-16.0,True,0.5418529510498047,0.48571428571428565
323,right,log,-8.0,False,0.5080888271331787,0.48571428571428565
